date,title,url,year,language,stock_code,company_name
2023-05-23,Other Matters subject to Electronic Provision in the Notice of the 20th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120230522578867.pdf,2023,English,27680,双日
2023-05-23,第20回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/27680/140120230522578864.pdf,2023,Japanese,27680,双日
2023-05-23,第20回定時株主総会招集その他の電子提供措置事項,https://www2.jpx.co.jp/disc/27680/140120230522578865.pdf,2023,Japanese,27680,双日
2022-05-20,第19回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/27680/140120220519552508.pdf,2022,Japanese,27680,双日
2022-05-20,第19回定時株主総会招集ご通知に際してのインターネット開示事項,https://www2.jpx.co.jp/disc/27680/140120220519552509.pdf,2022,Japanese,27680,双日
2022-05-20,Internet Disclosure of Matters for the Notice of the 19th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120220519552511.pdf,2022,English,27680,双日
2022-05-20,Notice of the 19th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120220519552510.pdf,2022,English,27680,双日
2021-05-21,Internet Disclosure of Matters for the Notice of the 18th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120210520424626.pdf,2021,English,27680,双日
2021-05-21,Notice of the 18th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120210520424625.pdf,2021,English,27680,双日
2021-05-21,第18回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/27680/140120210520424623.pdf,2021,Japanese,27680,双日
2021-05-21,第18回定時株主総会招集ご通知に際してのインターネット開示事項,https://www2.jpx.co.jp/disc/27680/140120210520424624.pdf,2021,Japanese,27680,双日
2020-05-22,Internet Disclosure of Matters for the Notice of the 17th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120200521420176.pdf,2020,English,27680,双日
2020-05-22,Notice of the 17th Ordinary General Shareholders' Meeting,https://www2.jpx.co.jp/disc/27680/140120200521420175.pdf,2020,English,27680,双日
2020-05-22,第17回定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/27680/140120200521420173.pdf,2020,Japanese,27680,双日
2020-05-22,第17回定時株主総会招集ご通知に際してのインターネット開示事項,https://www2.jpx.co.jp/disc/27680/140120200521420174.pdf,2020,Japanese,27680,双日
