year,code_market,company_name,auditor_before_setup,earliest_ir_date,ir_date,ir_links,report_date,report_links,purpose,committee_members,assistants,source_url,extracted_code,market_cap
2018,4333 東証1,株式会社東邦システムサイエンス,新日本,2018-10-26,2018-10-26,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2018/10/181026_chousa4333.pdf,2018-11-14,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2018/10/181114_chousa4333.pdf,＜社内調査委員会＞ ① 本件不正行為に関する事実関係の調査 ② 本件不正行為と同種の不正行為の有無の調査 ③ 上記①及び②の結果発見された不正行為の発生原因の分析及び再発防止策の提言,委員長：（常勤監査役） 鈴木 光一 委員：（監査役） 武間 久男 委員：（執行役員 経理部長） 吉田 博英 委員：（中村・角田・松本法律事務所 弁護士） 中村 直人 委員：（中村・角田・松本法律事務所 弁護士） 中島 正裕 委員：（中村・角田・松本法律事務所 弁護士） 後藤 晃輔,株式会社 KPMG FAS パートナー 公認会計士 髙岡 俊文 シニアマネージャー 情報処理安全確保支援士 遠藤 正樹 その他10名,http://www.daisanshaiinkai.com/2018/,4333,1260.0
2017,9792 東証1,株式会社ニチイ学館,京都,2017-12-14,2017-12-14,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171214_daisansha9792.pdf,2018-02-28,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/180228_daisansha9792.pdf,当該事件の発生原因の徹底究明し、再発防止策を講じるため。,委員長：（延命法律事務所 弁護士） 延命 政之 委員：（大森法律事務所 弁護士） 大森 一志 委員：（社会福祉法人 桜井の里福祉会 専務理事・総合施設長） 佐々木 勝則,,http://www.daisanshaiinkai.com/2017/,9792,
2017,1822 東証1,大豊建設株式会社,あずさ,2017-12-08,2017/12/08 2017/12/19,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171208_chousa1822.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171219_daisansha1822.pdf,2018-02-02,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/180202_chousa1822.pdf,① 会社調査の妥当性についての検証 ② 他の類似事例の有無の調査,委員長：（弁護士法人北浜法律事務所 弁護士） 坂井 一郎 委員：（弁護士法人イノベンティア 弁護士） 町野 静 委員：（河江健史会計事務所 公認会計士） 河江 健史,弁護士 松下 外 東海 秀樹 税理士 樋渡 信也,http://www.daisanshaiinkai.com/2017/,1822,859.0
2017,2121 マザーズ,株式会社ミクシィ,トーマツ,2017-12-07,2017/12/07 2017/12/12,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171207_chousa2121.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171212_chousa2121.pdf,2017-12-27,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171227_chousa2121.pdf,＜社内調査委員会＞ ① 商標法違反及び不正競争防止法違反の容疑に関する事実（以下、「本件事実」という。）及び経緯の確認 ② 本件事実の原因の究明 ③ 昨今の情勢を踏まえたチケットの二次流通仲介事業のプラットフォームに内在するリスク・問題点の検討,委員長：（森・濱田松本法律事務所 弁護士） 上村 哲史 委員：（当社社外監査役 弁護士） 佐藤 孝幸 委員：（当社社外監査役 公認会計士） 若松 弘之,,http://www.daisanshaiinkai.com/2017/,2121,3350.0
2017,6942 JASDAQ,株式会社ソフィアホールディングス,明治アーク,2017-12-01,2017-12-01,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171201_chousa6942.pdf,2017-12-22,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171222_chousa6942.pdf,＜内部調査委員会＞ （1）2014 年（平成 26 年）3 月期にソフィアデジタルが株式会社Ａ（以下「Ａ社」という。）に対して販売し、売上計上した 250 台の ARecX6 について架空売上が存在するか（その全部若しくは一部について売上計上すべきでなかったものがあるか否か）、その結果、2014 年（平成 26 年）3 月 31 日時点でソフィアデジタルが保有していたARecX6 の在庫の帳簿価額について、棚卸資産評価損を計上すべきであったかどうか （2）2014 年（平成 26 年）3 月期と 2015 年（平成 27 年）3 月期のソフィアグループの内部統制は機能していたかどうか,委員長：（社外取締役 弁護士 公認会計士） 鈴木 規央 委員：（社外監査役 弁護士） 伊藤 雅浩 委員：（社外監査役 公認会計士 税理士） 川島 渉,シティユーワ法律事務所 弁護士 長木 裕史,http://www.daisanshaiinkai.com/2017/,6942,1271.0
2017,5711 東証1,三菱マテリアル株式会社,あずさ,2017-12-01,2017-12-01,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171201_chousa5711.pdf,2017/12/28 2018/02/20 2018/03/28,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171228_chousa5711.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/180220_chousa5711.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/180328_chousa5711.pdf,＜特別調査委員会＞ 本件時間に関する以下の調査を行い、本件事案の事実関係、原因、影響を適切に把握するとともに、本件事案に対するMMCグループ全体の対策（再発防止策を含む）案の策定を行うこと等を目的とする。 ① MSCの本件事案 ② MCIの本件事案 ③ MMCグループの品質管理に係るグループ・ガバナンスシステム等 ④ 本件事案に関連して本委員会が必要と判断したそのほかの事項,委員長：（当社 社外監査役） 得能 摩利子 委員：（当社 社外監査役） 渡辺 博史 委員：（一般社団法人日本能率協会 常務理事） 武中 和昭 委員：（当社 取締役副社長執行役員） 小野 直樹 委員：（当社 経営戦略本部法務部長） 長野 潤,,http://www.daisanshaiinkai.com/2017/,5711,2638.0
2017,3402 東証1,東レ株式会社,新日本,2017-11-28,2017-11-28,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171128_chousa3402.pdf,2017/12/27 2017/12/27 2018/03/30,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/180330_chousa3402.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171227_chousa3402_1.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/12/171227_chousa3402_2.pdf,＜有識者委員会＞ 本件データの書換問題について、THC及びそれを監督・指導する親会社としての立場の東レにおいて行った調査内容、調査結果、当該結果を受けての再発防止策及び対外対応の妥当性を調査・評価すること。,委員長：（奥野総合法律事務所 弁護士） 藤田 昇三 委員：（桃尾・松尾・難波法律事務所 弁護士） 松尾 眞 委員：（卓照綜合法律事務所 弁護士） 永井 敏雄,桃尾・松尾・難波法律事務所 弁護士 大江 耕治 高石 直樹 松尾 剛行 角元 洋利 朝倉 亮太,http://www.daisanshaiinkai.com/2017/,3402,982.6
2017,7201 東証1,日産自動車株式会社,新日本,,,,2017-11-17,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/171117_chousa7201.pdf,不適切な完成検査の過去からの運用状況等、事実関係やその原因についての調査,西村あさひ法律事務所,,http://www.daisanshaiinkai.com/2017/,7201,363.0
2017,2388 JASDAQ,株式会社ウェッジホールディングス,アリア,2017-11-17,2017/11/17 2017/12/11,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/171117_daisansha2388.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/171211_daisansha2388.pdf,2017-12-12,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/171212_daisansha2388.pdf,キプロス及びシンガポールの借主に対する貸付金とその利息収入について、 （１）本件取引等の事実関係の調査 （２）本件取引等の適正性の調査 （３）本件取引等に関する法的問題及び責任の有無等に関する検討 （４）その他、第三者委員会が必要と認めた事項,委員長：（大知法律事務所 弁護士） 高野 哲也 委員：（東京フィナンシャル・アドバイザーズ株式会社 公認会計士） 能勢 元 委員：（ＬＲ会計 公認会計士） 山田 幸平,,http://www.daisanshaiinkai.com/2017/,2388,72.0
2017,7762 東証1,シチズン時計株式会社,日本橋,2017-11-10,2017-11-10,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/171110_daisansha7762.pdf,2018-02-09,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/180209_daisansha7762.pdf,(1) 本件不適切行為の事実関係の調査 (2) 本件不適切行為に類似した事象の存否及び取引先企業との取決めの遵守状況に関する事実関係の調査 (3) 本件不適切行為の原因分析及び再発防止策の検討・提言 (4) 本件不適切行為に関する法的問題及び責任の有無等に関する検討 (5) 必要と認められた場合には、本件不適切行為の対象となる製品の品質等の検証 (6) その他、第三者委員会が必要と認めた事項,委員長：（宗像紀夫法律事務所 弁護士） 宗像 紀夫 委員：（大江橋法律事務所 弁護士） 名取 俊也 委員：（北浜法律事務所 弁護士） 籔内 俊輔,大江橋法律事務所 弁護士 古川 昌平 松永 崇 北浜法律事務所 弁護士 藤田 俊輔,http://www.daisanshaiinkai.com/2017/,7762,1045.0
