year,code,market,code_market,company_name,auditor_before_setup,earliest_ir_date,ir_date,ir_links,earliest_report_date,report_date,report_links,purpose,committee_members,assistants,source_url
2017,4620,東証1,4620 東証1,藤倉化成株式会社,新日本,2017/08/09,2017/08/09,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/170809_chousa4620.pdf,2017/11/10,2017/11/10,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/11/171110_chousa4620.pdf,＜特別調査委員会＞ 事実関係の把握、損害の有無の確認、原因の究明、対策の立案,委員長：（当社常務取締役） 下田 善三 委員：（当社総務部長） 山本 達也 委員：（当社監査室長） 柴野 卓 委員：（当社経理部経理課長） 津村 裕治 委員：（当社社外取締役 弁護士） 田中 治,,http://www.daisanshaiinkai.com/2017/page/2/
2017,8098,東証1,8098 東証1,稲畑産業株式会社,あずさ,2017/08/08,2017/08/08,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170808_chousa8098.pdf,2017/09/11,2017/09/11 2017/09/13,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170913_chousa8098.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/09/170911_chousa8098.pdf,＜社内調査委員会＞ ① IKEG の役職員による共謀・協力・黙認等の意図的な関与の有無を含む本件疑義の事実関係の確認 ② （上記①で IKEG の役職員による共謀・協力・黙認等の意図的な関与が明らかとなった場合）類似する事象の有無の調査 ③ 本件在庫差異の発生及び上記各事実関係に係る原因分析 ④ 再発防止策の提言,委員長：（代表取締役社長執行役員） 稲畑 勝太郎 委員：（代表取締役専務執行役員） 横田 健一 委員：（執行役員リスク管理室長） 幡本 裕之 委員：（執行役員財務経営管理室長） 久保井 伸和 委員：（内部監査室長） 栗本 茂 委員：（リスク管理室法務部長） 坂 隆 委員：（リスク管理室法務部国内法務課長） 濱川 雄 委員：（財務経営管理室海外管理部長） 秋永 靖史 委員：（財務経営管理室 IR 企画部長） 福山 幸伸 委員：（アンダーソン・毛利・友常法律事務所 弁護士） 三宅 英貴 委員：（デロイト トーマツ ファイナンシャルアドバイザリー合同会社 公認会計士） 築島 繁,デロイト トーマツ ファイナンシャルアドバイザリー合同会社 当社及び IKEG の役職員,http://www.daisanshaiinkai.com/2017/page/2/
2017,6420,東証1,6420 東証1,福島工業株式会社,トーマツ,2017/08/07,2017/08/07,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170807_chousa6420.pdf,2017/08/14,2017/08/14,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170814_chousa6420.pdf,＜社内調査委員会＞ 本件の詳細な内容及び影響金額を含め、迅速かつ適切な事実関係の解明のため,,,http://www.daisanshaiinkai.com/2017/page/2/
2017,6397,東証2,6397 東証2,株式会社郷鉄工所,アリア,2017/07/31,2017/07/31 2017/08/04,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170731_daisansha6397.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170804_daisansha6397.pdf,2017/08/08,2017/08/08 2017/08/25,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170808_daisansha6397.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/08/170825_daisansha6397.pdf,平成 29 年 5 月 2 日付設置の第三者委員会における調査対象案件以外の社内調査対象 13 案件での滞留債権の発生に至った経緯及び事実関係について調査分析を行うとともに、その原因を究明し、再発防止策の検討・提言を行うこと。,委員長 ：（大知法律事務所 パートナー 弁護士） 高野 哲也 委員：（弁護士法人ほくと総合法律事務所 パートナー 弁護士） 倉橋 博文 委員：（ＬＲ会計 代表 公認会計士） 山田 幸平,大知法律事務所アソシエイト 弁護士 岸本 悠,http://www.daisanshaiinkai.com/2017/page/2/
2017,3004,東証1,3004 東証1,神栄株式会社,あずさ,2017/07/20,2017/07/20,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/170720_chousa3004.pdf,2017/08/14,2017/08/14,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/170814_chousa3004.pdf,＜社内調査委員会＞ ①本件不正取引の実態解明 ②本件不正取引の原因・動機の究明 ③本件不正取引以外に類似の事象がないことの確認 ④過年度決算に与える影響の確定 ⑤本件不正取引を防止しえなかった理由等を踏まえた再発防止策策定の検討,,,http://www.daisanshaiinkai.com/2017/page/2/
2017,5310,東証1,5310 東証1,東洋炭素株式会社,トーマツ,2017/07/13,2017/07/13,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/170713_chousa5310.pdf,2017/10/30,2017/10/30,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/171030_chousa5310.pdf,＜社内調査委員会＞ 事態の全容解明および再発防止策の策定,社外取締役 山形 康郎 岩本 宗 社外監査役 田中 耕一郎,顧問弁護士 現地弁護士 外部専門機関 PwCフランス,http://www.daisanshaiinkai.com/2017/page/2/
2017,7719,東証2,7719 東証2,株式会社東京衡機,清和,2017/07/06,2017/07/06 2017/07/14 2017/10/23 2017/11/27,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/170706_chousa7719.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/170714_chousa7719.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/171023_chousa7719.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/171127_chousa7719.pdf,2017/08/14,2017/08/14 2017/12/26,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/170814_chousa7719.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/07/171226_chousa7719.pdf,①本件疑義の事実関係の確認（不正行為の起きた時期・関与者の特定、会計処理に関する不正の有無、不正の態様・範囲・金額および不正行為の当社の決算への影響額の確定を含む。） ② 原因分析（会計的な側面だけでなく、不正行為が発生した背景・経緯、不正行為を未然に防止することができなかった内部統制上の問題点などの分析） ③ 再発を防止するために実施すべき方策等の提言,委員長：（当社代表取締役会長兼社長、無錫三和塑料製品有限公司 董事長） 石川 隆一 委員：（当社取締役常務執行役員グループマネジメント担当兼海外事業担当、 無錫三和塑料製品有限公司 董事・総経理） 神崎 吉平 委員：（㈱東京衡機試験機 取締役会長） 服部 毅 委員：（アンダーソン・毛利・友常法律事務所スペシャル・カウンセル 弁護士） 三宅 英貴 委員：（キャストグループパートナー 公認会計士） 川手 典子 委員：（祝田法律事務所パートナー 弁護士） 水川 聡,キャストグループ 公認会計士 馬場 久佳 他 税理士1名、中国会計士4名 錦天城律師事務所 中国弁護士 高 革慧 他4名 江蘇漫修律師事務所 中国弁護士 王 勇 他1名 江蘇端菜律師事務所 中国弁護士 吴 怡辰 他1名,http://www.daisanshaiinkai.com/2017/page/2/
2017,6425,JASDAQ,6425 JASDAQ,株式会社ユニバーサルエンターテインメント,ＵＨＹ東京,2017/06/08,2017/06/08 2017/06/19 2017/06/27,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/06/170608_chousa6425.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/06/170619_chousa6425.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/06/1706279_chousa6425.pdf,2017/08/29,2017/08/29 2017/08/30,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/06/170829_chousa6425.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/06/170830_chousa6425.pdf,＜特別調査委員会＞ ① TRA が平成 27 年 3 月 3 日に B 社（以下「B 社」という。）に対して行った 1億 3500 万香港ドル（約 20 億円）の貸付け（以下「本件貸付け」という。）の調査 ② その他不正事案の有無・内容の調査 ③ 不正が行われた原因の解明及び再発防止策の提言,委員長：（シティユーワ法律事務所 弁護士） 政木 道夫 委員：（シティユーワ法律事務所 弁護士） 松尾 宗太郎 委員：（シティユーワ法律事務所 弁護士） 深山 美弥,弁護士 １名,http://www.daisanshaiinkai.com/2017/page/2/
2017,3156,東証1,3156 東証1,株式会社ＵＫＣホールディングス,あずさ,2017/05/30,2017/05/30,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170530_daisansha3156-1.pdf,2017/07/19,2017/07/19 2017/07/25 2017/07/25,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170719_daisansha3156.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170725_daisansha3156-2.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170725_daisansha3156.pdf,① 本件疑義に関連する事実関係の調査 ② 本件疑義と類似する事象の有無の調査 ③ 本件疑義及び上記各事実関係に係る原因分析 ④ 再発防止策の提言,委員長：（須藤綜合法律事務所 弁護士） 須藤 修 委員：（アンダーソン・毛利・友常 法律事務所 弁護士） 甲斐 淑浩 委員：（千葉公認会計士事務所 公認会計士） 千葉 通子,アンダーソン・毛利・友常 法律事務所 弁護士 三宅 英貴 川上 高央 新日本有限責任監査法人 FIDS（不正対策・係争サポート） 公認会計士 田谷 直樹 萬 仁志 田中 泰生 ステイシー・ワン 布施 和弘 他29名,http://www.daisanshaiinkai.com/2017/page/2/
2017,6840,JASDAQ,6840 JASDAQ,株式会社 AKIBA ホールディングス,優成,2017/05/11,2017/05/11 2017/05/26,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170511_chousa6840.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170526_daisansha6840.pdf,2017/07/28,2017/07/28 2017/07/31,http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170728_daisansha6840.pdf http://www.daisanshaiinkai.com/cms/wp-content/uploads/2017/05/170731_daisansha6840.pdf,① 本件に起因する会計に与える影響及び金額の見積もりに必要な調査を行う。 ② 事実関係の調査、発生原因及び問題点の調査分析を行う。 ③ 本件発生に関する内部統制、コンプライアンス、ガバナンス上の問題点の有無の調査分析を行う。 ④ 上記を踏まえて当社が行うべき再発防止策の検討を行う。,委員長：（ACE コンサルティング㈱ 公認会計士） 小川 真人 委員：（シティユーワ法律事務所 弁護士） 政木 道夫 委員：（坂朋法律事務所 弁護士・公認会計士） 坂本 朋博,弁護士 １名 公認会計士 ２名,http://www.daisanshaiinkai.com/2017/page/2/
